"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ABDALA DE MATARAZZO, Norma Amanda","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"ACERENZA, Samanta María Celeste","PRO","Buenos Aires","AFIRMATIVO"
"AICEGA, Juan","PRO","Buenos Aires","NEGATIVO"
"ALLENDE, Walberto Enrique","Todos Juntos por San Juan","San Juan","NEGATIVO"
"ALONSO, Laura Valeria","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ALUME SBODIO, Karim Augusto","Unidad Justicialista","San Luis","NEGATIVO"
"ÁLVAREZ RODRIGUEZ, María Cristina","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"AMADEO, Eduardo Pablo","PRO","Buenos Aires","NEGATIVO"
"ANSALONI, Pablo Miguel","PRO","Buenos Aires","NEGATIVO"
"ARCE, Mario Horacio","Unión Cívica Radical","Formosa","NEGATIVO"
"ARROYO, Daniel Fernando","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"ASENCIO, Fernando","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"AUSTIN, Brenda Lis","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"ÁVILA, Beatriz Luisa","Partido por la Justicia Social","Tucumán","NEGATIVO"
"AYALA, Aida Beatriz Máxima","Unión Cívica Radical","Chaco","AFIRMATIVO"
"BAHILLO, Juanjo","Justicialista","Entre Ríos","AFIRMATIVO"
"BALDASSI, Héctor Walter","PRO","Córdoba","NEGATIVO"
"BANFI, Karina Verónica","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BASTERRA, Luis Eugenio","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"BAZZE, Miguel Ángel","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BENEDETTI, Atilio Francisco Salvador","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"BERISSO, Hernán","PRO","Buenos Aires","NEGATIVO"
"BEVILACQUA, Gustavo","Federal Unidos por una Nueva Argentina","Buenos Aires","NEGATIVO"
"BIANCHI, Ivana María","Unidad Justicialista","San Luis","NEGATIVO"
"BORSANI, Luis Gustavo","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"BOSSIO, Diego Luis","Justicialista","Buenos Aires","NEGATIVO"
"BRAGAGNOLO, Sebastián","PRO","Mendoza","NEGATIVO"
"BRAMBILLA, Sofía","PRO","Corrientes","AFIRMATIVO"
"BRITEZ, María Cristina","Frente para la Victoria - PJ","Misiones","AFIRMATIVO"
"BRIZUELA DEL MORAL, Eduardo Segundo","Fte. Cívico y Social de Catamarca","Catamarca","NEGATIVO"
"BRÜGGE, Juan Fernando","Córdoba Federal","Córdoba","NEGATIVO"
"BUCCA, Eduardo","Justicialista","Buenos Aires","AFIRMATIVO"
"BUIL, Sergio Omar","PRO","Buenos Aires","AFIRMATIVO"
"BURGOS, María Gabriela","Unión Cívica Radical","Jujuy","NEGATIVO"
"CABANDIÉ, Juan","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"CÁCERES, Eduardo Augusto","PRO","San Juan","NEGATIVO"
"CAMAÑO, Graciela","Federal Unidos por una Nueva Argentina","Buenos Aires","NEGATIVO"
"CAMPAGNOLI, Marcela","Coalición Cívica","Buenos Aires","NEGATIVO"
"CAMPOS, Javier","Coalición Cívica","Buenos Aires","NEGATIVO"
"CANO, José Manuel","Unión Cívica Radical","Tucumán","NEGATIVO"
"CANTARD, Albor Angel","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"CARAMBIA, Antonio José","PRO","Santa Cruz","NEGATIVO"
"CARMONA, Guillermo Ramón","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO"
"CAROL, Analuz Ailén","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"CARRIÓ, Elisa María Avelina","Coalición Cívica","C.A.B.A.","NEGATIVO"
"CARRIZO, Ana Carla","Evolución Radical","C.A.B.A.","AFIRMATIVO"
"CARRIZO, Soledad","Unión Cívica Radical","Córdoba","NEGATIVO"
"CARRO, Pablo","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO"
"CASELLES, Graciela María","Partido Bloquista de San Juan","San Juan","NEGATIVO"
"CASSINERIO, Paulo Leonardo","Córdoba Federal","Córdoba","NEGATIVO"
"CASTAGNETO, Carlos Daniel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"CASTRO, Sandra Daniela","Frente para la Victoria - PJ","San Juan","NEGATIVO"
"CERRUTI, Gabriela","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"CIAMPINI, José Alberto","Frente para la Victoria - PJ","Neuquén","AFIRMATIVO"
"CLERI, Marcos","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"CONTIGIANI, Luis Gustavo","Frente Progresista Cívico y Social","Santa Fe","NEGATIVO"
"CORREA, Walter","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"CRESTO, Mayda","Justicialista","Entre Ríos","NEGATIVO"
"DAVID, Javier","Justicialista","Salta","NEGATIVO"
"DE MENDIGUREN, José Ignacio","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"DE PEDRO, Eduardo Enrique","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"DE PONTI, Lucila María","Peronismo para la Victoria","Santa Fe","AFIRMATIVO"
"DE VIDO, Julio (Suspendido Art 70 C.N.)","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"DEL CAÑO, Nicolás","PTS - Frente de Izquierda","Buenos Aires","AFIRMATIVO"
"Del CERRO, Gonzalo Pedro Antonio","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"Del PLÁ, Romina","Fte. de Izquierda y de los Trabajadores","Buenos Aires","AFIRMATIVO"
"DELÚ, Melina Aida","Justicialista","La Pampa","AFIRMATIVO"
"DERNA, Verónica","Frente de la Concordia Misionero","Misiones","NEGATIVO"
"DI STÉFANO, Daniel","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"DINDART, Julián","Unión Cívica Radical","Corrientes","NEGATIVO"
"DONDA PÉREZ, Victoria Analía","Libres del Sur","C.A.B.A.","AFIRMATIVO"
"DOÑATE, Claudio Martín","Frente para la Victoria - PJ","Rio Negro","AFIRMATIVO"
"ECHEGARAY, Alejandro Carlos Augusto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"ENRIQUEZ, Jorge Ricardo","PRO","C.A.B.A.","NEGATIVO"
"ESPINOZA, Fernando","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ESTEVEZ, Gabriela Beatriz","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO"
"FELIX, Omar","Somos Mendoza","Mendoza","NEGATIVO"
"FERNANDEZ LANGAN, Ezequiel","PRO","Buenos Aires","NEGATIVO"
"FERNANDEZ PATRI, Gustavo Ramiro","Frente para la Victoria - PJ","Formosa","NEGATIVO"
"FERNANDEZ, Carlos Alberto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"FERREYRA, Araceli Susana Del Rosario","Peronismo para la Victoria","Corrientes","AFIRMATIVO"
"FILMUS, Daniel","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"FLORES, Danilo Adrián","Justicialista","La Rioja","NEGATIVO"
"FLORES, Héctor Toty","Coalición Cívica","Buenos Aires","NEGATIVO"
"FRANA, Silvina Patricia","Frente para la Victoria - PJ","Santa Fe","NEGATIVO"
"FRANCO, Jorge Daniel","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"FREGONESE, Alicia","PRO","Entre Ríos","NEGATIVO"
"FRIZZA, Gabriel Alberto","PRO","Córdoba","NEGATIVO"
"FURLAN, Francisco Abel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"GARCIA, Alejandro","PRO","C.A.B.A.","AFIRMATIVO"
"GARRÉ, Nilda Celia","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"GARRETÓN, Facundo","PRO","Tucumán","NEGATIVO"
"GAYOL, Yanina Celeste","PRO","Entre Ríos","AFIRMATIVO"
"GINOCCHIO, Silvana Micaela","Elijo Catamarca","Catamarca","NEGATIVO"
"GIOJA, José Luis","Frente para la Victoria - PJ","San Juan","NEGATIVO"
"GOICOECHEA, Horacio","Unión Cívica Radical","Chaco","NEGATIVO"
"GONZÁLEZ SELIGRA, Nathalia","PTS - Frente de Izquierda","Buenos Aires","AFIRMATIVO"
"GONZÁLEZ, Álvaro Gustavo","PRO","C.A.B.A.","NEGATIVO"
"GONZÁLEZ, Josefina Victoria","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"GRANA, Adrián Eduardo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"GRANDE, Martín","PRO","Salta","NEGATIVO"
"GRANDINETTI, Alejandro Ariel","Federal Unidos por una Nueva Argentina","Santa Fe","NEGATIVO"
"GROSSO, Leonardo","Peronismo para la Victoria","Buenos Aires","AFIRMATIVO"
"GUERIN, María Isabel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"HERNÁNDEZ, Martín Osvaldo","Unión Cívica Radical","Formosa","NEGATIVO"
"HERRERA, Luis Beder","Justicialista","La Rioja","AFIRMATIVO"
"HERS CABRAL, Anabella Ruth","PRO","C.A.B.A.","AFIRMATIVO"
"HORNE, Silvia Renee","Peronismo para la Victoria","Rio Negro","AFIRMATIVO"
"HUCZAK, Stella Maris","PRO","Mendoza","NEGATIVO"
"HUMMEL, Astrid","PRO","Santa Fe","NEGATIVO"
"HUSS, Juan  Manuel","Frente para la Victoria - PJ","Entre Ríos","AFIRMATIVO"
"IGLESIAS, Fernando Adolfo","PRO","C.A.B.A.","AFIRMATIVO"
"IGON, Santiago Nicolás","Frente para la Victoria - PJ","Chubut","AFIRMATIVO"
"INCICCO, Lucas Ciriaco","PRO","Santa Fe","NEGATIVO"
"INFANTE, Hugo Orlando","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"KICILLOF, Axel","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"KIRCHNER, Máximo Carlos","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"KOSINER, Pablo Francisco Juan","Justicialista","Salta","NEGATIVO"
"KRONEBERGER, Daniel Ricardo","Unión Cívica Radical","La Pampa","AFIRMATIVO"
"LACOSTE, Jorge Enrique","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"LARROQUE, Andrés","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"LASPINA, Luciano Andrés","PRO","Santa Fe","NEGATIVO"
"LAVAGNA, Marco","Federal Unidos por una Nueva Argentina","C.A.B.A.","NEGATIVO"
"LEAVY, Sergio Napoleón","Frente para la Victoria - PJ","Salta","NEGATIVO"
"LEHMANN, María Lucila","Coalición Cívica","Santa Fe","NEGATIVO"
"LIPOVETZKY, Daniel Andrés","PRO","Buenos Aires","AFIRMATIVO"
"LLANOS MASSA, Ana María","Frente para la Victoria - PJ","Chubut","NEGATIVO"
"LLARYORA, Martín Miguel","Córdoba Federal","Córdoba","NEGATIVO"
"LÓPEZ KOENIG, Leandro Gastón","PRO","Neuquén","AFIRMATIVO"
"LÓPEZ, Juan Manuel","Coalición Cívica","C.A.B.A.","AFIRMATIVO"
"LOSPENNATO, Silvia Gabriela","PRO","Buenos Aires","AFIRMATIVO"
"LOTTO, Inés Beatriz","Frente para la Victoria - PJ","Formosa","NEGATIVO"
"LOUSTEAU, Martín","Evolución Radical","C.A.B.A.","AFIRMATIVO"
"MACHA, Mónica","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MACÍAS, Oscar Alberto","Justicialista","Corrientes","NEGATIVO"
"MAQUIEYRA, Martín","PRO","La Pampa","NEGATIVO"
"MARCUCCI, Hugo María","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"MARTIARENA, José Luis","Justicialista","Jujuy","NEGATIVO"
"MARTÍNEZ VILLADA, Leonor María","Coalición Cívica","Córdoba","NEGATIVO"
"MARTÍNEZ, Darío","Frente para la Victoria - PJ","Neuquén","AFIRMATIVO"
"MARTÍNEZ, Silvia Alejandra","Unión Cívica Radical","Jujuy","AFIRMATIVO"
"MASIN, María Lucila","Frente para la Victoria - PJ","Chaco","AFIRMATIVO"
"MASSETANI, Vanesa Laura","Federal Unidos por una Nueva Argentina","Santa Fe","NEGATIVO"
"MASSOT, Nicolás María","PRO","Córdoba","NEGATIVO"
"MATZEN, Lorena","Unión Cívica Radical","Rio Negro","AFIRMATIVO"
"MEDINA, Gladys","Justicialista por Tucumán","Tucumán","NEGATIVO"
"MEDINA, Martín Nicolás","PRO","Buenos Aires","NEGATIVO"
"MENDOZA, Josefina","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"MENDOZA, Mayra Soledad","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MENNA, Gustavo","Unión Cívica Radical","Chubut","AFIRMATIVO"
"MERCADO, Verónica Elizabeth","Frente para la Victoria - PJ","Catamarca","AFIRMATIVO"
"MESTRE, Diego Matías","Unión Cívica Radical","Córdoba","NEGATIVO"
"MIRANDA, Pedro Rubén","Justicialista","Mendoza","AFIRMATIVO"
"MOISÉS, María Carolina","Justicialista","Jujuy","AFIRMATIVO"
"MOLINA, Karina Alejandra","PRO","La Rioja","NEGATIVO"
"MONALDI, Osmar","PRO","Jujuy","NEGATIVO"
"MONFORT, Marcelo Alejandro","Unión Cívica Radical","Entre Ríos","NEGATIVO"
"MONTENEGRO, Guillermo Tristán","PRO","Buenos Aires","NEGATIVO"
"MONZÓ, Emilio","PRO","Buenos Aires","PRESIDENTE"
"MORALES, Flavia","Frente de la Concordia Misionero","Misiones","NEGATIVO"
"MORALES, Mariana Elizabet","Federal Unidos por una Nueva Argentina","Santiago del Estero","NEGATIVO"
"MOREAU, Cecilia","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"MOREAU, Leopoldo Raúl Guido","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MOSQUEDA, Juan","Justicialista","Chaco","NEGATIVO"
"MOYANO, Juan Facundo","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"MUÑOZ, Rosa Rosario","Trabajo y Dignidad","Chubut","NEGATIVO"
"NAJUL, Claudia Inés","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"NANNI, Miguel","Unión Cívica Radical","Salta","NEGATIVO"
"NAVARRO, Graciela","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"NAZARIO, Adriana Mónica","Córdoba Trabajo y Producción","Córdoba","NEGATIVO"
"NEDER, Estela Mary del Rosario","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"NEGRI, Mario Raúl","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"NUÑEZ, José Carlos","PRO","Santa Fe","NEGATIVO"
"OCAÑA, Maria Graciela","PRO","Buenos Aires","AFIRMATIVO"
"OLIVARES, Héctor Enrique","Unión Cívica Radical","La Rioja","NEGATIVO"
"OLIVETO LAGO, Paula Mariana","Coalición Cívica","C.A.B.A.","NEGATIVO"
"OLMEDO, Alfredo Horacio","Salta Somos Todos","Salta","NEGATIVO"
"ORELLANA, José Fernando","Justicialista por Tucumán","Tucumán","NEGATIVO"
"PASSO, Marcela Fabiana","Federal Unidos por una Nueva Argentina","Buenos Aires","NEGATIVO"
"PASTORI, Luis Mario","Unión Cívica Radical","Misiones","NEGATIVO"
"PASTORIZA, Mirta Ameliana","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"PEREYRA, Juan Manuel","Concertación FORJA","Córdoba","NEGATIVO"
"PÉREZ, Martín Alejandro","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"PÉREZ, Raúl Joaquín","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"PERTILE, Elda","Justicialista","Chaco","NEGATIVO"
"PETRI, Luis Alfonso","Unión Cívica Radical","Mendoza","NEGATIVO"
"PEÑALOZA MARIANETTI, María Florencia","Somos San Juan","San Juan","NEGATIVO"
"PICCOLOMINI, María Carla","PRO","Buenos Aires","NEGATIVO"
"PIETRAGALLA CORTI, Horacio","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"PITIOT, Carla Betina","Federal Unidos por una Nueva Argentina","C.A.B.A.","NEGATIVO"
"POLLEDO, Carmen","PRO","C.A.B.A.","NEGATIVO"
"PRETTO, Pedro Javier","PRO","Córdoba","NEGATIVO"
"QUETGLAS, Fabio José","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"RACH QUIROGA, Analía Alexandra","Frente para la Victoria - PJ","Chaco","AFIRMATIVO"
"RAMÓN, José Luis","Partido Intransigente de Mendoza","Mendoza","NEGATIVO"
"RAMOS, Alejandro Ariel","Primero Argentina","Santa Fe","AFIRMATIVO"
"RAUSCHENBERGER, Ariel","Justicialista","La Pampa","AFIRMATIVO"
"RAVERTA, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"REGIDOR BELLEDONE, Estela Mercedes","Unión Cívica Radical","Corrientes","NEGATIVO"
"REYES, Roxana Nahir","Unión Cívica Radical","Santa Cruz","AFIRMATIVO"
"RICCARDO, José Luis","Unión Cívica Radical","San Luis","AFIRMATIVO"
"RICCI, Nadia Lorena","Unión Cívica Radical","Santa Cruz","NEGATIVO"
"RISTA, Olga María","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"RODENAS, Alejandra","Nuevo Espacio Santafesino","Santa Fe","AFIRMATIVO"
"RODRIGUEZ, Matías David","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"RODRIGUEZ, Rodrigo Martín","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ROMA, Carlos Gastón","PRO","Tierra del Fuego","AFIRMATIVO"
"ROMERO, Jorge Antonio","Frente para la Victoria - PJ","Corrientes","NEGATIVO"
"ROSSI, Agustín","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"ROSSO, Victoria","Unidad Justicialista","San Luis","NEGATIVO"
"RUIZ ARAGÓN, José Arnaldo","Frente para la Victoria - PJ","Corrientes","AFIRMATIVO"
"RUSSO, Laura","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SAADI, Gustavo Arturo","Elijo Catamarca","Catamarca","NEGATIVO"
"SAHAD, Julio Enrique","PRO","La Rioja","NEGATIVO"
"SALVAREZZA, Roberto","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SANTILLÁN, Walter Marcelo","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
